# Host  Type M  r_D
Boring BHBH 5.74954523676 0.128630434299
Exciting BHBH 6.05349638244  0.130626040756 
Dwarf1 BHBH 0.98261739576 0.0374610073219 
Dwarf2 BHBH 0.24537545136 0.023294868436 
h239 BHBH 6.05672231112 0.139197828872
h285 BHBH 5.8450370472 0.137998380248
Boring BHNS 5.74954523676 0.00141814135096
Exciting BHNS 6.05349638244 0.00179984216171 
Dwarf1 BHNS 0.98261739576 0.000302966173603 
Dwarf2 BHNS 0.24537545136 6.30224969675e-05 
h239 BHNS 6.05672231112 0.00214440243504
h285 BHNS 5.8450370472 0.00166013916681
Boring NSNS 5.74954523676 0.0011866575101
Exciting NSNS 6.05349638244 0.00138315715203
Dwarf1 NSNS 0.98261739576 0.000433339328213
Dwarf2 NSNS 0.24537545136 0.000216891738463
h239 NSNS 6.05672231112 0.0016209505968
h285 NSNS 5.8450370472 0.00140806024854
